Salesprice,Bedrooms,Properttype,Latitude,Longitude,Location
50000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
3800000,4,Duplex,6.546609,3.238251, Alimosho
35000000,4,Duplex,6.538079,3.321265, Isolo
58000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
70000000,4,Duplex,6.50837,3.384247, Lagos Mainland
130000000,4,Duplex,6.633668,3.357343, Ojodu
280000000,4,Duplex,6.454812,3.434691, Ikoyi
75000000,4,Duplex,6.601838,3.351486, Ikeja
50000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
15000000,4,Duplex,6.500076,3.804483, Ibeju
33000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
250000000,4,Duplex,6.454812,3.434691, Ikoyi
37000000,4,Duplex,6.633668,3.357343, Ojodu
150000000,4,Duplex,6.601838,3.351486, Ikeja
42000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
50000000,4,Duplex,6.472516,3.568616, Ajah
45000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
600000000,4,Duplex,6.454812,3.434691, Ikoyi
75000000,4,Duplex,6.534965,3.389289, Shomolu
8500000,4,Duplex,6.601838,3.351486, Ikeja
30000000,4,Duplex,6.472516,3.568616, Ajah
100000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
22000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
170000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
50000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
110000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
55000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
58000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
37000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
170000000,4,Duplex,6.601838,3.351486, Ikeja
65000000,4,Duplex,6.454812,3.434691, Ikoyi
60000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
85000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
25000000,4,Duplex,6.472516,3.568616, Ajah
35000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
300000000,5,Duplex,6.428056,3.421944, Victoria Island
55000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
165000000,5,Duplex,6.428056,3.421944, Victoria Island
7500000,5,Duplex,6.50837,3.384247, Lagos Mainland
70000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
30000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
150000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
95000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
50000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
350000000,5,Duplex,6.428056,3.421944, Victoria Island
45000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
52000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
50000000,5,Duplex,6.561638,3.384247, Gbagada
600000000,5,Duplex,6.454812,3.434691, Ikoyi
40000000,5,Duplex,6.50837,3.384247, Lagos Mainland
30000000,5,Duplex,6.601838,3.351486, Ikeja
350000000,5,Duplex,6.454812,3.434691, Ikoyi
35000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
60000000,5,Duplex,6.538079,3.321265, Isolo
75000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
75000000,5,Duplex,6.472516,3.568616, Ajah
35000000,5,Duplex,6.472516,3.568616, Ajah
110000000,5,Duplex,6.454812,3.434691, Ikoyi
50000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
110000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
57000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
47000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
70000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
145000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
33000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
50000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
45000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
85000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
130000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
68000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
60000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
47000000,4,Duplex,6.50837,3.384247, Lagos Mainland
50000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
58000000,5,Duplex,6.617909,3.400106, Magodo
